492) Scaler: MinMax, classifier: SGD-sei-l1--1, mean: 0.2238380245143658, class wrong: [408, 146, 121, 50]
168) Scaler: MaxAbs, classifier: SGD-sei-e--6, mean: 0.22524942299511802, class wrong: [41, 189, 142, 53]
772) Scaler: Robust, classifier: SGD-sei-n--6, mean: 0.2258071427845359, class wrong: [635, 151, 79, 50]
196) Scaler: MaxAbs, classifier: SGD-sei-l2--1, mean: 0.22640604902067502, class wrong: [639, 117, 146, 25]
152) Scaler: MaxAbs, classifier: SGD-sei-e--4, mean: 0.2280767906036269, class wrong: [81, 182, 143, 54]
1444) Scaler: None, classifier: SGD-sei-l2-2, mean: 0.22961887140089338, class wrong: [603, 143, 63, 49]
141) Scaler: MaxAbs, classifier: SGD-sl-l1--4, mean: 0.22976501761198564, class wrong: [639, 16, 146, 54]
812) Scaler: Robust, classifier: SGD-sei-l2-0, mean: 0.22996100404718164, class wrong: [428, 184, 146, 17]
797) Scaler: Robust, classifier: SGD-sl-e--1, mean: 0.23009645128509523, class wrong: [596, 172, 101, 37]
1452) Scaler: None, classifier: SGD-sei-n-2, mean: 0.23057350229473136, class wrong: [322, 171, 146, 47]
1396) Scaler: None, classifier: SGD-sei-l2--1, mean: 0.2314049027806912, class wrong: [605, 77, 146, 46]
485) Scaler: MinMax, classifier: SGD-sl-n--2, mean: 0.2323250953803532, class wrong: [585, 158, 131, 32]
1433) Scaler: None, classifier: SGD-sl-n-1, mean: 0.2327383810925297, class wrong: [161, 158, 113, 53]
759) Scaler: Robust, classifier: SGD-ei-l1--6, mean: 0.2327518951025485, class wrong: [402, 159, 105, 48]
760) Scaler: Robust, classifier: SGD-sei-l1--6, mean: 0.23385922906902748, class wrong: [515, 149, 127, 32]
456) Scaler: MinMax, classifier: SGD-sei-n--4, mean: 0.23412502944216323, class wrong: [589, 178, 108, 23]
1376) Scaler: None, classifier: SGD-sei-l1--2, mean: 0.23429505123794914, class wrong: [92, 185, 144, 54]
176) Scaler: MaxAbs, classifier: SGD-sei-l1--2, mean: 0.23524078851131458, class wrong: [342, 170, 83, 48]
1412) Scaler: None, classifier: SGD-sei-l2-0, mean: 0.23525786664123105, class wrong: [640, 124, 22, 52]
188) Scaler: MaxAbs, classifier: SGD-sei-n--2, mean: 0.23567226047773387, class wrong: [592, 111, 146, 26]
745) Scaler: Robust, classifier: SGD-sl-l2--4, mean: 0.2364920633226975, class wrong: [361, 189, 139, 37]
520) Scaler: MinMax, classifier: SGD-sei-n-0, mean: 0.23659947155318467, class wrong: [308, 189, 126, 48]
1062) Scaler: Standard, classifier: SGD-hu-l2--6, mean: 0.23686102344788024, class wrong: [519, 189, 108, 48]
764) Scaler: Robust, classifier: SGD-sei-l2--6, mean: 0.237354160660212, class wrong: [538, 104, 74, 52]
1104) Scaler: Standard, classifier: SGD-sei-n--1, mean: 0.23789365123216202, class wrong: [363, 195, 76, 54]
801) Scaler: Robust, classifier: SGD-sl-n--1, mean: 0.23833376483287189, class wrong: [412, 146, 105, 44]
749) Scaler: Robust, classifier: SGD-sl-e--4, mean: 0.23837470333313746, class wrong: [614, 87, 87, 51]
1413) Scaler: None, classifier: SGD-sl-e-0, mean: 0.23844063845332802, class wrong: [9, 175, 146, 54]
1416) Scaler: None, classifier: SGD-sei-e-0, mean: 0.23846144086365711, class wrong: [234, 195, 146, 19]
753) Scaler: Robust, classifier: SGD-sl-n--4, mean: 0.2386899859407574, class wrong: [402, 126, 129, 45]
788) Scaler: Robust, classifier: SGD-sei-n--2, mean: 0.23929668318393432, class wrong: [548, 158, 65, 33]
1058) Scaler: Standard, classifier: SGD-hu-l1--6, mean: 0.23958962628277397, class wrong: [489, 147, 92, 30]
1408) Scaler: None, classifier: SGD-sei-l1-0, mean: 0.23965999084617245, class wrong: [507, 90, 146, 8]
796) Scaler: Robust, classifier: SGD-sei-l2--1, mean: 0.24021612127698128, class wrong: [601, 126, 135, 34]
460) Scaler: MinMax, classifier: SGD-sei-l1--6, mean: 0.24022095932569262, class wrong: [627, 94, 90, 54]
159) Scaler: MaxAbs, classifier: SGD-ei-l1--6, mean: 0.24070944503411193, class wrong: [38, 161, 146, 54]
771) Scaler: Robust, classifier: SGD-ei-n--6, mean: 0.24104548167827464, class wrong: [483, 176, 112, 42]
173) Scaler: MaxAbs, classifier: SGD-sl-l1--2, mean: 0.24141524699405598, class wrong: [258, 92, 146, 54]
1070) Scaler: Standard, classifier: SGD-hu-n--6, mean: 0.24229460771446748, class wrong: [466, 125, 120, 44]
785) Scaler: Robust, classifier: SGD-sl-n--2, mean: 0.24237459665681066, class wrong: [526, 103, 103, 45]
