1;1526372491811;259;1526372533669
2;1526372533669;28;1526372580655
3;1526372580655;27;1526372618895
4;1526372618895;15;1526372655292
5;1526372655292;17;1526372691538
6;1526372691538;21;1526372728532
7;1526372728532;21;1526372764553
8;1526372764553;24;1526372801577
9;1526372801577;22;1526372837383
10;1526372837383;25;1526372873725
11;1526372873725;24;1526372912017
12;1526372912017;24;1526372949891
13;1526372949891;19;1526372986988
14;1526372986988;30;1526373025328
15;1526373025328;19;1526373063207
16;1526373063207;11;1526373098177
17;1526373098177;19;1526373136721
18;1526373136721;23;1526373178074
19;1526373178074;16;1526373214486
20;1526373214486;19;1526373249870
21;1526373249870;25;1526373280494
22;1526373280494;24;1526373312854
23;1526373312854;10;1526373346667
24;1526373346667;10;1526373381233
25;1526373381233;10;1526373415310
26;1526373415310;10;1526373448317
27;1526373448317;23;1526373477823
28;1526373477823;10;1526373507155
29;1526373507155;9;1526373536588
30;1526373536588;10;1526373566240
31;1526373566240;8;82;8;1526373577308
32;1526373577309;6;36;8;1526373581908
33;1526373581908;8;45;8;1526373587779
34;1526373587779;8;36;7;1526373592888
35;1526373592888;6;6;7;1526373593844
36;1526373593844;9;10;8;1526373595199
37;1526373595199;11;34;8;1526373599220
38;1526373599220;7;36;7;1526373603768
39;1526373603768;6;31;7;1526373607834
40;1526373607834;6;36;7;1526373612648
41;1526373612649;12;36;14;1526373617487
42;1526373617487;8;35;10;1526373622039
43;1526373622039;6;36;7;1526373625695
44;1526373625695;6;36;10;1526373629431
45;1526373629431;8;36;8;1526373633944
46;1526373633944;8;36;7;1526373638160
47;1526373638160;6;36;10;1526373642588
48;1526373642588;6;36;10;1526373647219
49;1526373647219;9;36;8;1526373650975
50;1526373650975;6;55;9;1526373656986
51;1526373656986;8;72;9;1526373666274
52;1526373666274;8;74;7;1526373676122
53;1526373676122;7;37;7;1526373681091
54;1526373681091;7;9;9;1526373682352
55;1526373682352;7;0;10;1526373717591
56;1526373717591;7;36;8;1526373722053
57;1526373722053;6;36;8;1526373726590
58;1526373726590;6;50;8;1526373732218
59;1526373732218;5;92;9;1526373742941
60;1526373742941;6;115;15;1526373759351
61;1526373759351;7;36;8;1526373763823
62;1526373763823;7;35;7;1526373768236
63;1526373768236;8;36;8;1526373772400
64;1526373772400;6;36;8;1526373776832
65;1526373776832;6;36;8;1526373781263
66;1526373781263;7;36;7;1526373785735
67;1526373785736;8;36;9;1526373790294
68;1526373790294;8;36;7;1526373794969
69;1526373794969;6;36;11;1526373799971
70;1526373799971;6;28;8;1526373804057
71;1526373804057;7;0;10;1526373842886
72;1526373842886;6;0;20;1526373881407
73;1526373881407;7;0;30;1526373920177
74;1526373920177;8;0;18;1526373958698
75;1526373958698;10;0;10;1526373992551
76;1526373992551;6;37;7;1526373997005
77;1526373997005;7;36;7;1526374001469
78;1526374001469;6;36;7;1526374005761
